word,examples,word_audio,word_search
"anbieten, bietet an, bot an, hat angeboten",['Darf ich Ihnen etwas zu trinken anbieten?'],anbieten,anbieten
"der Anbieter, -",['Ist das ein privater Telefonanbieter?'],der Anbieter,Anbieter
"das Angebot, -e","['Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.', 'Der Käse ist heute im Angebot.']",das Angebot,Angebot
ander-,"['Die anderen sind schon nach Hause gegangen.', 'Bitte nicht alle auf einmal! Einer nach dem anderen.', 'Ich hätte gern ein anderes Auto.', 'Natascha hat unter anderem Chinesisch und Spanisch gelernt.']",ander-,ander-
andererseits,"['Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.']",andererseits,andererseits
"ändern, ändert, änderte, hat geändert","['Das Wetter hat sich geändert.', 'Ich habe meine Meinung inzwischen geändert.']",ändern,ändern
"die Änderung, -en",['Es gibt eine Programmänderung.'],die Änderung,Änderung
anders,"['Anders geht das leider nicht.', 'Oliver ist anders als seine Freunde.', 'Ich würde das anders machen.']",anders,anders
"anerkennen, erkennt an, erkannte an, hat anerkannt",['Meine Ausbildung wird hier nicht anerkannt.'],anerkennen,anerkennen
"anfangen, fängt an, fing an, hat angefangen","['Wann fängst du mit der Arbeit an?', 'Hier fängt die Bahnhofstraße an.']",anfangen,anfangen
"der Anfang, ¨-e","['Wie war der Film? – Ich habe nur den Anfang gesehen.', 'Am Anfang habe ich bei der Arbeit viele Fragen gestellt.', 'Mein Chef ist Anfang fünfzig.', 'Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.', 'Wir machen Anfang Juli Ferien.', 'Meine Freundin wohnt am Anfang der Straße.']",der Anfang,Anfang
anfangs,['Anfangs ging alles gut.'],anfangs,anfangs
"angeben, gibt an, gab an, hat angegeben",['Bitte geben Sie Ihre genaue Adresse an.'],angeben,angeben
"die Angabe,-n","['Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.']",die Angabe,Angabe
"der Angehörige, -n die Angehörige, -n",['Der Arzt darf nur Familienangehörigen Auskunft geben.'],"der Angehörige, die Angehörige",Angehörige
angenehm,['Wir wünschen Ihnen eine angenehme Reise.'],angenehm,angenehm
"die Angst, “-e","['Du brauchst keine Angst zu haben. Der Hund tut dir nichts.', 'Ich habe Angst, vielleicht ist etwas passiert.']",die Angst,Angst
ängstlich,['Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.'],ängstlich,ängstlich
"anhaben, hat an, hatte an, hat angehabt",['Gestern hatte Julia ein rotes Kleid an.'],anhaben,anhaben
"anklicken, klickt an, klickte an, hat angeklickt",['Du musst das Bild anklicken. Dann wird es größer.'],anklicken,anklicken
"ankommen, kommt an, kam an, ist angekommen","['Wann kommt der Zug in Hamburg an?', 'Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.']",ankommen,ankommen
die Ankunft,"['Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.', 'Gleich nach der Ankunft habe ich meine Eltern angerufen.']",die Ankunft,Ankunft
"ankündigen, kündigt an, kündigte an, hat angekündigt",['Wir sollten unseren Besuch ankündigen.'],ankündigen,ankündigen
"die Anlage, -n","['Meine Musikanlage ist kaputt.', 'In der Anlage der E-Mail finden Sie meinen Lebenslauf.']",die Anlage,Anlage
"die Anleitung, -en","['In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.']",die Anleitung,Anleitung
"anmelden, meldet an, meldete an, hat angemeldet",['Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.'],anmelden,anmelden
