word,examples,word_audio,word_search
"lösen, löst, löste, hat gelöst","['Wir müssen dieses Problem lösen.', 'Sie können die Fahrkarten auch am Automaten lösen.']",lösen,lösen
"die Lösung, -en","['Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.', 'Die Aufgabe ist nicht schwer. Die Lösung ist ganz einfach.']",die Lösung,Lösung
die Luft,"['Oh, hier ist aber schlechte Luft.', 'Die Seeluft tut mir gut.', 'Bitte mach das Fenster auf. Ich brauche frische Luft.']",die Luft,Luft
"lügen, lügt, log, hat gelogen","['Du sollst nicht lügen.', 'Glaube nicht alles, was man dir sagt. Es ist oft gelogen.']",lügen,lügen
"die Lüge, -n",['Das ist eine Lüge!'],die Lüge,Lüge
die Lust,"['Ich habe keine Lust zu grillen.', 'Hast du Lust auf einen Tee?']",die Lust,Lust
lustig,"['Ich habe einen lustigen Film gesehen.', 'Mir ist heute etwas Lustiges passiert.']",lustig,lustig
"machen, macht, machte, hat gemacht","['Was machst du am Wochenende?', 'Ich muss jetzt das Essen machen.', 'Ich habe die Betten noch nicht gemacht.', 'Soll ich dir die Suppe noch einmal warm machen?', 'Meine Arbeit macht mir viel Spaß.', 'Mach dir bitte keine Sorgen.', 'Was würden Sie an meiner Stelle machen?', 'Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen.', 'Entschuldigung! – Das macht doch nichts.', 'Das macht zusammen 20 Euro.']",machen,machen
"das Mädchen, -",['Familie Kurz hat zwei Mädchen und einen Jungen.'],das Mädchen,Mädchen
"das Magazin, -e",['Jugendliche lesen dieses Magazin gern.'],das Magazin,Magazin
"der Magen, ¨-",['Mit tut der Magen weh. Ich habe Magenschmerzen.'],der Magen,Magen
mager,['Bitte 1 kg mageres Fleisch.'],mager,mager
"die Mahlzeit, -en","['Die Tropfen bitte immer nach den Mahlzeiten einnehmen.', 'In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.']",die Mahlzeit,Mahlzeit
"die Mahnung, -en","['Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.']",die Mahnung,Mahnung
mal,['(siehe einmal)'],mal,mal
"das Mal, -e","['Das machen wir nächstes Mal.', 'Das erste Mal war ich vor fünf Jahren in England.', 'Bis zum nächsten Mal.']",das Mal,Mal
"malen, malt, malte, hat gemalt",['Das Bild hat mein Vater gemalt.'],malen,malen
"der Maler, die Malerin, -nen","['Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.', 'Picasso ist vielleicht der bekannteste Maler der Welt.']","der Maler, die Malerin",Maler
man,"['Wie schreibt man das?', 'Hier darf man nicht parken.']",man,man
manch-,"['Manche Nachbarn sind unfreundlich.', 'An manchen Tagen ist das Zugfahren billiger.']",manch-,manch-
manchmal,"['Manchmal gehe ich mit meiner Frau ins Café.', 'Rauchen Sie? – Manchmal.']",manchmal,manchmal
"der Mangel, ¨-","['In dieser Stadt gibt es einen großen Mangel an Wohnungen.', 'Die Maschine hat technische Mängel.']",der Mangel,Mangel
"der Mann, ¨-er","['In unserer Firma arbeiten fast nur Männer.', 'Mein Mann arbeitet bei der Post.']",der Mann,Mann
männlich,['Kreuzen Sie bitte an: „weiblich“ oder „männlich“.'],männlich,männlich
"die Mannschaft, -en",['Unsere Mannschaft hat 0:1 verloren.'],die Mannschaft,Mannschaft
"der Mantel, ¨-",['Es ist sehr kalt. Zieh deinen Mantel an.'],der Mantel,Mantel
"die Mappe, -n",['Mein Pass ist in dieser Mappe.'],die Mappe,Mappe
"das Märchen, -",['Meine Großmutter hat uns viele Märchen erzählt.'],das Märchen,Märchen
die Margarine,['Meine Frau isst nur Margarine und keine Butter.'],die Margarine,Margarine
"die Marille, -n (A) → D, CH: Aprikose",['Schmecken dir die Marillen?'],die Marille,Marille
"die Marke, -n","['Ich brauche bitte fünf Briefmarken zu 1 Euro.', 'Markenschuhe sind mir zu teuer.']",die Marke,Marke
"markieren, markiert, markierte, hat markiert",['Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.'],markieren,markieren
"der Markt, ¨-e","['Ich gehe heute auf den Markt.', 'Mittwochs und samstags ist bei uns Markt.']",der Markt,Markt
"die Marmelade, -n (D, A)",['Bring bitte noch ein Glas Marmelade mit.'],die Marmelade,Marmelade
"die Maschine, -n","['Ich habe eine neue Kaffeemaschine.', 'Unsere Maschine soll um 7 Uhr 10 starten.']",die Maschine,Maschine
das Material,['Aus welchem Material ist der Schrank? – Aus Holz.'],das Material,Material
"die Matura (A, CH) → D: Abitur",['Meine Tocher hat gerade die Matura gemacht.'],die Matura,Matura
"die Mauer, -n",['Die Kinder sind über die Mauer geklettert.'],die Mauer,Mauer
maximal,"['Wie lange braucht ein Brief? – Maximal zwei Tage.', 'Wie schwer darf der Brief sein? – Maximal 20 g.']",maximal,maximal
"der Mechaniker, die Mechanikerin, -nen","['Das kann nur ein Mechaniker reparieren.', 'Karim ist Automechaniker. Er arbeitet bei Opel.']","der Mechaniker, die Mechanikerin",Mechaniker
die Medien (Pl.),['Umweltschutz ist in den Medien ein großes Thema.'],die Medien,Medien
"das Medikament, -e","['Dieses Medikament gibt es nur auf Rezept.', 'Der Arzt hat mir ein Medikament verschrieben.', 'Für dieses Medikament müssen Sie fünf Euro dazu zahlen.', 'Dieses Medikament hat mir sehr gut geholfen.']",das Medikament,Medikament
die Medizin,"['Du musst noch deine Medizin nehmen.', 'Mein Sohn will Medizin studieren.']",die Medizin,Medizin
"das Meer, -e",['Wir machen immer Urlaub am Meer.'],das Meer,Meer
das Mehl,['Ich möchte einen Kuchen backen. Ist noch genug Mehl da?'],das Mehl,Mehl
mehr,"['Ich habe diesmal mehr gelernt als bei der letzten Prüfung.', 'Mehr kann ich nicht essen!']",mehr,mehr
mehrere,"['Ich habe mehrere Leute gefragt. Aber niemand konnte mir helfen.', 'Viele Wörter haben mehrere Bedeutungen.']",mehrere,mehrere
"die Mehrheit, -en",['Die Mehrheit der Menschen in Deutschland besitzt ein Handy.'],die Mehrheit,Mehrheit
die Mehrwertsteuer,['Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.'],die Mehrwertsteuer,Mehrwertsteuer
"meinen, meint, meinte, hat gemeint","['Dieser Film ist gut. Was meinst du?', 'Ich meine, du solltest weniger rauchen.']",meinen,meinen
meinetwegen,['Meinetwegen kannst du heute das Auto haben.'],meinetwegen,meinetwegen
"die Meinung, -en","['Ich bin der Meinung, dass du recht hast.', 'Ich habe meine Meinung geändert.', 'Meiner Meinung nach gibt es hier zu viele Autos.']",die Meinung,Meinung
"meist-, die meisten","['Wie gut kannst du Deutsch? – Das Meiste verstehe ich.', 'Ich bin neu im Haus. Die meisten Nachbarn kenne ich noch nicht.']","meist-, die meisten",meist-
meist(ens),"['Meistens trinke ich zum Frühstück nur einen Kaffee.', 'Seid ihr am Wochenende zu Hause? – Ja, meistens.']",meist(ens),meist(ens)
"der Meister, -","['Ich weiß nicht, wie man das macht. – Dann frag doch den Meister.', 'Unsere Mannschaft ist deutscher Meister geworden.']",der Meister,Meister
"melden, meldet, meldete, hat gemeldet","['Ich habe schon zweimal angerufen. Aber es meldet sich niemand.', 'Den Unfall müssen Sie der Versicherung melden.', 'Warum hast du dich so lange nicht gemeldet? Warst du krank?']",melden,melden
"die Meldung, -en",['Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.'],die Meldung,Meldung
"die Menge, -n","['Diesen Preis gibt es nur, wenn Sie große Mengen kaufen.', 'Wir haben noch eine Menge Zeit.', 'Ich kenne schon eine Menge Leute in der Stadt.', 'Das Auto hat bestimmt eine Menge Geld gekostet.']",die Menge,Menge
"die Mensa, -s/-en",['Ich esse fast jeden Tag in der Mensa.'],die Mensa,Mensa
"der Mensch, -en",['Die Menschen sind hier ein bisschen anders als im Süden.'],der Mensch,Mensch
menschlich,['Fehler zu machen ist menschlich.'],menschlich,menschlich
"das Menü, -s","['Nimm doch das Menü, das sieht gut aus.']",das Menü,Menü
"merken, merkt, merkte, hat gemerkt","['Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen.', 'Ich kann mir keine Zahlen merken. Ich vergesse sie sofort wieder.']",merken,merken
merkwürdig,['Das ist eine merkwürdige Geschichte.'],merkwürdig,merkwürdig
"die Messe, -n","['Kommst du mit zur Automobilmesse?', 'Vielleicht kann ich auf der Messe einen Job bekommen.']",die Messe,Messe
"messen, misst, maß, hat gemessen","['Haben Sie schon Fieber gemessen?', 'Ich habe das Zimmer ausgemessen. Es sind genau 20 m².']",messen,messen
"das Messer, -",['Das Messer schneidet nicht gut.'],das Messer,Messer
"das Metall, -e",['Dieser Tisch hier ist ganz aus Metall.'],das Metall,Metall
"die Methode, -n","['Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?']",die Methode,Methode
"die Metropole, -n",['Berlin und Wien sind Metropolen.'],die Metropole,Metropole
"der Metzger, - → A: Fleischhauer",['Dieser Metzger hat sehr gute Wurst.'],der Metzger,Metzger
"mieten, mietet, mietete, hat gemietet","['Wir haben die Wohnung für drei Jahre gemietet.', 'Im Urlaub haben wir ein Auto gemietet.']",mieten,mieten
"die Miete, -n","['Unsere Miete ist sehr hoch.', 'Wie viel Miete bezahlst du?']",die Miete,Miete
"der Mieter, die Mieterin, -nen",['Sie hat heute neue Mieter für die Wohnung gefunden.'],"der Mieter, die Mieterin",Mieter
"der Migrant, -en die Migrantin, -nen",['Viele Migranten kommen aus Osteuropa.'],"der Migrant, die Migrantin",Migrant
"die Migration, -en",['Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.'],die Migration,Migration
die Milch,['Stellst du bitte die Milch in den Kühlschrank?'],die Milch,Milch
mild,"['Möchten Sie die Soße scharf? – Nein, bitte ganz mild.', 'Wie wird das Wetter? – Es soll etwas milder werden.']",mild,mild
"die Minderheit, -en",['Frauen sind in unserer Firma in der Minderheit.'],die Minderheit,Minderheit
mindestens,"['Ein guter Fernsehapparat kostet mindestens 500 Euro.', 'Bitte kommen Sie mindestens eine Stunde vor Abflug zum Flughafen.']",mindestens,mindestens
das Mineralwasser,['Kann ich bitte ein Mineralwasser haben?'],das Mineralwasser,Mineralwasser
minimal,['Da ist nur ein minimaler Unterschied.'],minimal,minimal
"mischen, mischt, mischte, hat gemischt","['Ich möchte ein gemischtes Eis mit Sahne.', 'Wie möchten Sie das Geld? – Bitte gemischt, große und kleine Scheine.']",mischen,mischen
miss-,"['Die Konferenz war ein Misserfolg.', 'Das Misstrauen zwischen den beiden Parteien ist weiterhin groß.', 'Sie haben mich missverstanden.', 'Das ist ein Missverständnis. Das habe']",miss-,miss-
mit,"['Ich gehe heute Abend mit Maria aus.', 'Wir suchen eine Dreizimmerwohnung mit Küche und Bad.', 'Ich hätte gern einen Tee mit Zitrone.', 'Mit meiner Mutter sind wir acht Personen.', 'Ich bin mit dem Fahrrad gekommen.']",mit,mit
"der Mitarbeiter, die Mitarbeiterin, -nen",['Unsere Firma hat sieben Mitarbeiter.'],"der Mitarbeiter, die Mitarbeiterin",Mitarbeiter
miteinander,['Sprechen Sie bitte miteinander.'],miteinander,miteinander
"das Mitglied, -er",['Für Mitglieder ist der Eintritt zum Konzert gratis.'],das Mitglied,Mitglied
"die Mitte, -n","['Wo möchten Sie sitzen? – In der Mitte.', 'Bis Mitte der Woche bin ich fertig.', 'Ich habe Urlaub bis Mitte August.', 'Den Schrank stellen wir ans Fenster, den Tisch in die Mitte.']",die Mitte,Mitte
"mitteilen, teilt mit, teilte mit, hat mitgeteilt",['Den Prüfungstermin teilen wir Ihnen noch mit.'],mitteilen,mitteilen
"das Mittel, -","['Haben Sie ein Mittel gegen Magenschmerzen?', 'Der Arzt hat mir ein Mittel gegen Grippe verschrieben.', 'Das neue Waschmittel ist sehr gut.']",das Mittel,Mittel
mitten,"['Wir haben eine Wohnung mitten in der Stadt.', 'Das Flugzeug hatte Verspätung. Wir sind erst mitten in der Nacht angekommen.']",mitten,mitten
mittler-,['In den mittleren Reihen sind noch Plätze frei.'],mittler-,mittler-
mittlerweile,['Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.'],mittlerweile,mittlerweile
"das Möbel, -",['Wir haben uns neue Möbel gekauft.'],das Möbel,Möbel
möbliert,['Ich suche ein möbliertes Zimmer.'],möbliert,möbliert
"möchten, möchte, mochte, hat gemocht","['Möchtest du auch einen Kaffee?', 'Im Sommer möchten wir gern ans Meer fahren.']",möchten,möchten
mobil/mobil-,['Mit dem Fahrrad bin ich in der Stadt sehr mobil.'],mobil,mobil
"die Mobilbox, -en",['Ich habe zwei Nachrichten auf meiner Mobilbox.'],die Mobilbox,Mobilbox
"die Mobilität, -en",['Sprachen zu lernen fördert die Mobilität.'],die Mobilität,Mobilität
"das Mobiltelefon, -e",['Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?'],das Mobiltelefon,Mobiltelefon
"die Mode, -n","['Wie findest du die neue Mode?', 'Welche Farbe ist denn jetzt gerade in Mode?']",die Mode,Mode
"das Modell, -e",['Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.'],das Modell,Modell
modern,"['Die Wohnung ist modern eingerichtet.', 'Das Stadtzentrum von Frankfurt ist ganz modern.']",modern,modern
"mögen, mag, mochte, hat gemocht","['Ich mag keinen Reis.', 'Möchtest du noch ein Stück Kuchen?', 'Ich möchte gern Herrn Schmidt sprechen.', 'Herr Müller, Sie möchten bitte sofort zum Chef kommen.']",mögen,mögen
möglich,['Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.'],möglich,möglich
"die Möglichkeit, -en",['Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.'],die Möglichkeit,Möglichkeit
möglichst,"['Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt.', 'Wir suchen eine Wohnung, möglichst im Erdgeschoss.']",möglichst,möglichst
"die Möhre, -n (D) → Karotte; CH: Rüebli",['Hasen fressen gern Möhren.'],die Möhre,Möhre
"der Moment, -e","['Warten Sie bitte einen Moment.', 'Einen Moment bitte.', 'Ich habe im Moment sehr viel zu tun.']",der Moment,Moment
"der Mond, -e",['Bei Vollmond kann ich nicht schlafen.'],der Mond,Mond
"der Monitor, -e",['Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.'],der Monitor,Monitor
"der Motor, -en",['Der Motor ist kaputt. Das Auto fährt nicht mehr.'],der Motor,Motor
"das Motorrad, ¨-er",['Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.'],das Motorrad,Motorrad
müde,['Ich bin müde. Ich gehe schlafen.'],müde,müde
die Mühe,"['Vielen Dank für Ihre Mühe.', 'Mit ein bisschen mehr Mühe können wir das schaffen.']",die Mühe,Mühe
der Müll,"['Bringst du bitte noch den Müllsack raus?', 'Wir müssen den Müll trennen.']",der Müll,Müll
die Müllabfuhr,['Die Müllabfuhr kommt zweimal pro Woche.'],die Müllabfuhr,Müllabfuhr
"die Mülltonne, -n",['Die Mülltonne ist voll.'],die Mülltonne,Mülltonne
"der Mund, ¨-er",['Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.'],der Mund,Mund
mündlich,['Die mündliche Prüfung ist erst nächste Woche.'],mündlich,mündlich
"die Münze, -n",['Der Automat nimmt nur Münzen.'],die Münze,Münze
"das Museum, Museen",['Wir waren mit unserer Klasse im Museum.'],das Museum,Museum
die Musik,"['Wie findest du die Musik?', 'Spanische Musik mag ich sehr.', 'Was für Musik hörst du gern?']",die Musik,Musik
musikalisch,"['Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige.', 'Das musikalische Angebot gefällt mir.']",musikalisch,musikalisch
"der Musiker, -","['Mein Bruder möchte Musiker werden. die Musikerin, nen']",der Musiker,Musiker
"der Muskel, -n",['Im Fitness-Studio trainieren wir unsere Muskeln.'],der Muskel,Muskel
"das Müsli, -",['Zum Frühstück gibt es Müsli mit Obst.'],das Müsli,Müsli
"müssen, muss, musste, hat gemusst (hat müssen als Modalverb)","['Wie lange müssen Sie arbeiten?', 'Sie müssen die Miete pünktlich überweisen.', 'Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.', 'Du musst mich nicht abholen. Nur wenn du willst.']",müssen,müssen
der Mut,"['Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.']",der Mut,Mut
mutig,"['Es war sehr mutig von dir, deine Meinung laut zu sagen.']",mutig,mutig
"die Mutter, ¨-","['Meine Mutter heißt Klara.', 'Dieser Raum ist für Mütter mit kleinen Kindern reserviert.']",die Mutter,Mutter
nach,"['Ich fahre morgen nach Hamburg.', 'Ich muss jetzt nach Hause.', 'Wir treffen uns nach dem Essen.', 'Es ist schon nach acht. Wir müssen uns beeilen.']",nach,nach
"der Nachbar, -n die Nachbarin, nen",['Meine neue Nachbarin ist sehr nett.'],"der Nachbar, die Nachbarin",Nachbar
nachdem,"['Nachdem wir gegessen hatten, sind wir spazieren gegangen.']",nachdem,nachdem
"nachdenken, denkt nach, dachte nach, hat nachgedacht","['Ich weiß nicht, was ich machen soll. Ich muss nachdenken.']",nachdenken,nachdenken
"die Nachfrage, -n",['Die Nachfrage für dieses Produkt ist groß.'],die Nachfrage,Nachfrage
nachher,['Ich rufe nachher nochmal an.'],nachher,nachher
"die Nachhilfe, -n",['Der Schüler braucht Nachhilfe in Mathematik.'],die Nachhilfe,Nachhilfe
"die Nachricht, -en","['Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.', 'Ich habe im Radio die Nachrichten gehört.', 'Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.']",die Nachricht,Nachricht
"nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen",['Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.'],nachschlagen,nachschlagen
"die Nachspeise, -n (D, A) → Dessert",['Nach dem Essen gab es noch eine leckere Nachspeise'],die Nachspeise,Nachspeise
nächst-,"['Wo ist hier die nächste Apotheke?', 'Rufen Sie bitte nächste Woche noch einmal an.', 'Wann fährt der nächste Zug nach Frankfurt?', 'Wer ist der Nächste bitte?']",nächst-,nächst-
"der Nachteil, -e",['Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.'],der Nachteil,Nachteil
der Nachwuchs,"['Der Nachwuchs bei Forschern soll gefördert werden.', 'Die Katze hat Nachwuchs bekommen.']",der Nachwuchs,Nachwuchs
"die Nadel, -n",['Hast du eine Nadel für mich? Ich muss einen Knopf annähen.'],die Nadel,Nadel
"der Nagel, ¨-","['Kannst du mir den Nagel in die Wand schlagen?', 'Ich muss mir die Fingernägel schneiden.']",der Nagel,Nagel
nah(e),"['Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier.']",nah(e),nah(e)
die Nähe,['Die Post ist ganz in der Nähe vom Bahnhof.'],die Nähe,Nähe
"nähen, näht, nähte, hat genäht","['Meine Mutter näht ihre Kleider selbst.', 'Wir müssen die Wunde nähen.']",nähen,nähen
"sich nähern, nähert sich, näherte sich, hat sich genähert",['Er nähert sich dem Unfallort ganz langsam.'],sich nähern,nähern
"das Nahrungsmittel, -",['In diesen Ländern fehlen vor allem Nahrungsmittel.'],das Nahrungsmittel,Nahrungsmittel
"der Name, -n","['Wie ist Ihr Name?', 'An den Namen kann ich mich nicht mehr erinnern.']",der Name,Name
"der Familienname, -n",['Ludin ist mein Familienname.'],der Familienname,Familienname
"der Vorname, -n",['Mein Vorname ist Thomas.'],der Vorname,Vorname
nämlich,['Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.'],nämlich,nämlich
"die Nase, -n",['Haben Sie Nasentropfen? Ich bin stark erkältet.'],die Nase,Nase
nass,"['Es hat schrecklich geregnet. Ich bin ganz nass geworden.', 'Geh nicht mit den nassen Schuhen ins Wohnzimmer.']",nass,nass
national/national-,"['Das ist ein nationaler Wettbewerb.', 'Die Nationalmannschaft ist ziemlich stark.']",national,national
die Natur,['Ich bin gern draußen in der Natur.'],die Natur,Natur
natürlich,"['Natürlich helfen wir dir.', 'Kommst du auch wirklich zu meiner Party? – Natürlich.']",natürlich,natürlich
"der Nebel, -","['Wegen Nebels konnten wir gestern nicht in Frankfurt landen.', 'Fahren Sie bei Nebel besonders vorsichtig!']",der Nebel,Nebel
neblig,['Fahr vorsichtig! Es ist neblig.'],neblig,neblig
neben,"['Neben mir ist noch ein Platz frei.', 'Darf ich mich neben dich setzen?', 'Die Apotheke ist gleich links neben der Post.']",neben,neben
nebenan,"['Das ist José, er wohnt nebenan.']",nebenan,nebenan
nebenbei,"['Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.', 'Ich mache die Hausarbeit und nebenbei höre ich Radio.']",nebenbei,nebenbei
"der Neffe, -n",['Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.'],der Neffe,Neffe
negativ,['Du solltest nicht alles negativ sehen.'],negativ,negativ
"nehmen, nimmt, nahm, hat genommen","['Was möchten Sie? – Ich nehme einen Salat.', 'Nehmen Sie die Tabletten vor dem Essen!', 'Wer hat die Flasche aus dem Kühlschrank genommen?', 'Sollen wir ein Taxi nehmen?', 'In diesem Jahr kann ich meinen Urlaub']",nehmen,nehmen
nein,"['Noch ein Bier? – Nein, danke.', 'Kommst du auch mit nach München? – Nein, ich habe keine Zeit.']",nein,nein
"nennen, nennt, nannte, hat genannt","['Mein Freund heißt Alexander, aber alle nennen ihn Alex.', 'Wie nennt man dieses Gerät?']",nennen,nennen
"der Nerv, -en","['Er leidet an einer Nervenkrankheit.', 'Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.']",der Nerv,Nerv
nervös,"['Das Warten macht mich ganz nervös.', 'Bei Prüfungen bin ich immer sehr nervös.']",nervös,nervös
nett,"['Die Leute sind hier sehr nett.', 'Ich habe viele nette Kollegen.', 'Vielen Dank! Das ist sehr nett von Ihnen.', 'Die Nachbarn waren sehr nett zu uns.']",nett,nett
"das Netz, -e","['Bitte bring ein Netz Orangen.', 'Der Ball berührte das Netz.', 'Seid ihr schon ans Netz angeschlossen?']",das Netz,Netz
"das Netzwerk, -e","['Soziale Netzwerke sind wichtig.', 'Das Telefonnetzwerk wird ständig erweitert.']",das Netzwerk,Netzwerk
neu,"['Mein Wagen ist noch ganz neu.', 'Wir haben eine neue Wohnung.', 'Man darf hier nicht mehr rauchen? Das ist mir ganz neu.']",neu,neu
"die Neuigkeit, -en",['In dieser Sache gibt es keine Neuigkeiten.'],die Neuigkeit,Neuigkeit
neugierig,['Die Nachbarn sind ziemlich neugierig.'],neugierig,neugierig
neulich,['Ich war neulich bei der Bank und habe einen alten Freund getroffen.'],neulich,neulich
nicht,"['Zigarette? - Danke, ich rauche nicht.', 'Wie geht es dir? – Nicht so gut.', 'Das Essen in der Kantine ist gar nicht schlecht.', 'Du kommst immer zu spät! - Das stimmt nicht.']",nicht,nicht
"die Nichte, -n",['Die Tasche ist ein Geschenk von meiner Nichte.'],die Nichte,Nichte
"der Nichtraucher, die Nichtraucherin, -nen","['In unserer Familie sind alle Nichtraucher.', 'Möchten Sie einen Tisch im Nichtraucherbereich?']","der Nichtraucher, die Nichtraucherin",Nichtraucher
nichts,"['Ich habe noch nichts gegessen.', 'Ich weiß auch nichts Genaues.', 'Ich habe nichts zum Schreiben dabei.', 'Entschuldigung! – Das macht nichts.']",nichts,nichts
nie,"['Der Chef ist nie da.', 'Warum bist du nie zufrieden?', 'Bis morgen Abend schaffe ich die Arbeit nie.', 'Ich gehe nie wieder in dieses Restaurant.']",nie,nie
niedrig,"['Die Räume hier sind mir zu niedrig.', 'Für die Jahreszeit sind die Temperaturen zu niedrig.', 'Die Firma zahlt sehr niedrige Löhne.']",niedrig,niedrig
niemand,['Ich habe geklingelt. Aber es war niemand zu Hause.'],niemand,niemand
nirgends,"['Ich kann die Quittung nirgends finden.', 'Hier kann man nirgends parken.']",nirgends,nirgends
nirgendwo,['Die Schlüssel kann ich nirgendwo finden.'],nirgendwo,nirgendwo
noch,"['Mein Bruder geht noch zur Schule.', 'Bist du fertig. – Nein, noch nicht ganz.', 'Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier.', 'Sonst noch etwas? – Nein, danke.', 'Ich komme später. Ich muss erst noch einkaufen.', 'Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin.', 'Es ist nicht mehr viel Zeit. Nur noch fünf Minuten.', 'Ich habe nur noch 20 Euro.', 'Ist das Essen schon fertig. – Nein, es dauert noch ein paar Minuten.', 'Ist Amadeo schon da? – Vielleicht kommt er noch.']",noch,noch
noch mal,"['Vielen Dank nochmal.', 'Bitte sagen Sie das nochmal.']",noch mal,noch mal
nochmals,['Nochmals vielen Dank!'],nochmals,nochmals
normal,['Fehler zu machen ist doch ganz normal.'],normal,normal
normalerweise,['Wann haben Sie normalerweise Pause?'],normalerweise,normalerweise
"die Notaufnahme, -n",['Die Notaufnahme ist gleich hier links.'],die Notaufnahme,Notaufnahme
"der Notausgang, ¨-e",['Der Notausgang ist gleich hier bei der Treppe.'],der Notausgang,Notausgang
"der Notfall, ¨-e","['Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen.', 'Im Notfall rufen Sie bitte diese Nummer an.']",der Notfall,Notfall
der Notruf,['Der Notruf hat die Nummer 110.'],der Notruf,Notruf
"die Note, -n","['Eva hat immer sehr gute Noten in Mathematik.', 'Meine Kinder lernen im Musikunterricht gerade Noten lesen.']",die Note,Note
notieren,['Ich habe mir den Termin notiert.'],notieren,notieren
nötig,"['Wenn es nötig ist, nehmen Sie noch eine Tablette.', 'Kann ich Ihnen helfen? – Danke, nicht nötig.']",nötig,nötig
"die Notiz, -en","['Ich habe Ihnen eine Notiz geschrieben.', 'Hast du einen Notizzettel für mich?']",die Notiz,Notiz
notwendig,"['Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.']",notwendig,notwendig
"die Nudel, -n",['Möchten Sie Nudeln oder Reis? – Lieber Nudeln.'],die Nudel,Nudel
"die Nummer, -n","['Ich habe mich in der Hausnummer geirrt.', 'Ich habe die falsche Nummer gewählt.', 'Der Wagen hatte eine Münchner Nummer.', 'Sie haben Zimmer Nummer zwölf.', 'Bitte geben Sie mir Ihre Kontonummer.', 'Haben Sie die Bluse eine Nummer kleiner?']",die Nummer,Nummer
nun,"['Schade, dass du arbeiten musst. – Das ist nun mal so.', 'Was ist jetzt? Kommst du nun endlich?']",nun,nun
nur,"['Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.', 'Ich habe keinen Hunger. Ich möchte nur etwas trinken.', 'Ich habe nur heute Abend Zeit.', 'Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.']",nur,nur
"nutzen, nutzt, nutzte, hat genutzt",['Ich möchte das schöne Wetter nutzen und spazieren gehen.'],nutzen,nutzen
"nützen, nützt, nützte, hat genützt",['Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.'],nützen,nützen
nützlich,['Danke für den Tipp. Das war sehr nützlich.'],nützlich,nützlich
ob,"['Ich weiß noch nicht, ob ich kommen kann.']",ob,ob
oben,"['Wir wohnen oben im 4. Stock.', 'Die Butter liegt im Kühlschrank ganz oben.']",oben,oben
ober-,['Die Wohnung im oberen Stockwerk ist vermietet.'],ober-,ober-
"der Ober, - (D, A) →",['Ich bin Ober von Beruf. Kellner; CH: Serviceangestellter'],der Ober,Ober
das Schlagobers (A) → D: (Schlag-)Sahne; CH: (Schlag-)Rahm,['Ich hätte gern ein Stück Torte mit (Schlag-)Obers.'],das Schlagobers,Schlagobers
"das Obst (D, A) → CH: Früchte",['Obst kaufe ich am liebsten auf dem Markt.'],das Obst,Obst
obwohl,"['Obwohl meine Kollegin krank ist, geht sie arbeiten.']",obwohl,obwohl
